Elapsed [2:20:19], Iteration [81500/1000000], G/loss_id: 4.4420, G/loss_id_psnt: 4.4261, G/loss_cd: 0.0405, mvg_avg: 0.0317
Elapsed [2:21:11], Iteration [82000/1000000], G/loss_id: 3.6744, G/loss_id_psnt: 3.6863, G/loss_cd: 0.0323, mvg_avg: 0.0312
Elapsed [2:22:02], Iteration [82500/1000000], G/loss_id: 11.6843, G/loss_id_psnt: 11.6714, G/loss_cd: 0.0486, mvg_avg: 0.0310
Elapsed [2:22:53], Iteration [83000/1000000], G/loss_id: 3.4882, G/loss_id_psnt: 3.4822, G/loss_cd: 0.0292, mvg_avg: 0.0313
Elapsed [2:23:46], Iteration [83500/1000000], G/loss_id: 3.0605, G/loss_id_psnt: 3.0724, G/loss_cd: 0.0295, mvg_avg: 0.0316
Elapsed [2:24:37], Iteration [84000/1000000], G/loss_id: 2.8573, G/loss_id_psnt: 2.8596, G/loss_cd: 0.0316, mvg_avg: 0.0307
Elapsed [2:25:29], Iteration [84500/1000000], G/loss_id: 6.7231, G/loss_id_psnt: 6.7046, G/loss_cd: 0.0364, mvg_avg: 0.0307
Elapsed [2:26:21], Iteration [85000/1000000], G/loss_id: 3.8696, G/loss_id_psnt: 3.8604, G/loss_cd: 0.0311, mvg_avg: 0.0304
Elapsed [2:27:13], Iteration [85500/1000000], G/loss_id: 4.5073, G/loss_id_psnt: 4.4992, G/loss_cd: 0.0329, mvg_avg: 0.0307
Elapsed [2:28:04], Iteration [86000/1000000], G/loss_id: 3.1786, G/loss_id_psnt: 3.1747, G/loss_cd: 0.0259, mvg_avg: 0.0297
